id,subj,obj,verb,ref,lemma_verb,synset
occ277,λύκοι,θυμὸν,ἔχουσιν,22.263,ἔχω,
occ278,θεοὶ,θάνατον,κάλεσσαν,22.297,καλέω,
occ279,κληῗδες,αὐχέν',ἔχουσι,22.324,ἔχω,
occ280,σὺ,χαλκόν,δέδεξο,22.340,δέχομαι,
occ281,ὃς,κύνας,ἀπαλάλκοι,22.348,ἀπάλαλκε,
occ282,ὃ,τεύχε',ἐσύλα,22.368,συλάω,
occ283,ἄλοχος,τι,πέπυστο,22.437,πυνθάνομαι,
occ284,ἦμαρ,παῖδα,τίθησι,22.490,τίθημι,
occ285,Τρῶες,ἐπίκλησιν,καλέουσιν,22.506,καλέω,
occ286,Θέτις,ἵμερον,ὦρσε,23.14,ὄρνυμι,
occ287,ὃ,τάφον,δαίνυ,23.29,δαίνυμι,
occ288,ταὶ,χθόνα,δατεῦντο,23.121,δατέομαι,
occ289,σὺ,νόον,ἐτέλεσσας,23.149,τελέω,
occ290,τοί,φλόγ',ἔβαλλον,23.217,βάλλω,kill
occ291,ἐγὼ,κλισίην,φεροίμην,23.275,φέρω,
occ292,οἳ,μάστιγας,ἄειραν,23.362,ἀείρω,
occ293,ὅτις,τοιαῦτά,ῥέζοι,23.494,ῥέζω,
occ294,ἐγὼ,τὸ,τελέσσω,23.559,τελέω,
occ295,θεοὶ,χάριν,δοῖεν,23.650,δίδωμι,
occ296,ὃ,νέους,ἐνίκα,23.756,νικάω,
occ297,Μηριόνης,πελέκεας,ἄειρε,23.882,ἀείρω,
occ298,Ἥρη,δέπας,θῆκε,24.101,τίθημι,
occ299,ἐγὼ,κῦδος,προτιάπτω,24.110,προσάπτω,
occ300,ἐγὼ,Ἶριν,ἐφήσω,24.117,ἐφίημι,
occ301,τά,θυμὸν,ἰήνῃ,24.119,ἰαίνω,
occ302,τά,θυμὸν,ἰήνῃ,24.147,ἰαίνω,
occ303,τά,θυμὸν,ἰήνῃ,24.176,ἰαίνω,
occ304,ὃς,γλήνεα,κεχάνδει,24.192,χανδάνω,
occ305,τά,θυμὸν,ἰήνῃ,24.196,ἰαίνω,
occ306,τίς,μ',ἐκέλευεν,24.220,κελεύω,
occ307,Ζεὺς,ἄλγε',ἔδωκε,24.241,δίδωμι,
occ308,ὅς,Τροίην,ὁρᾶται,24.291,ὁράω,
occ309,ἔγωγέ,σ',κελοίμην,24.297,κέλομαι,
occ310,αἵ,φῶτας,κατέδουσιν,24.415,κατέδω,
occ311,πολέες,χαλκὸν,ἔλασσαν,24.421,ἐλαύνω,
occ312,οἳ,Ὄλυμπον,ἔχουσι,24.427,ἔχω,
occ313,ἐγὼ,Ἄργος,ἱκοίμην,24.437,ἱκνέομαι,
occ314,Πρίαμος,μῦθον,ἔειπε,24.485,εἶπον,speak
occ315,Ἄρης,γούνατ',ἔλυσεν,24.498,λύω,kill
occ316,ὃ,χόλον,ἐρύσαιτο,24.584,ἐρύω,
occ317,τὼ,πάντας,ὄλεσσαν,24.609,ὄλλυμι,kill
occ318,οἳ,χεῖρας,ἴαλλον,24.627,ἰάλλω,
occ319,τίς,με,ἐνίπτοι,24.768,ἐνίπτω,
occ320,σὺ,τὸν,κατέρυκες,24.771,κατερύκω,
occ321,πάντες,με,πεφρίκασιν,24.775,φρίσσω,
occ322,Πρίαμος,μῦθον,ἔειπεν,24.777,εἶπον,speak
occ323,ὑμεῖς,Τροίην,ἕλητε,7.71,αἱρέω,kill
occ324,θεράποντες,τεύχε',ἕλοντο,7.122,αἱρέω,kill
occ325,πένθος,γαῖαν,ἱκάνει,7.124,ἱκάνω,
occ326,ἐγὼ,τεύχεα,δύω,7.193,δύω,
occ327,ὅς,μιν,προσηύδα,7.356,προσαυδάω,speak
occ328,ὅς,ἔπεα,προσηύδα,7.356,προσαυδάω,speak
occ329,σὺ,ταῦτ',ἀγορεύεις,7.357,ἀγορεύω,speak
occ330,τις,κτήματ',δεχέσθω,7.400,δέχομαι,
occ331,ὅς,νόον,ἐνίψει,7.447,ἐνέπω,speak
occ332,οἳ,τοιαῦτα,ἀγόρευον,7.464,ἀγορεύω,speak
occ333,Ἠέλιος,οὐρανὸν,ἀμφιβεβήκει,8.68,ἀμφιβαίνω,
occ334,γέρων,παρηορίας,ἀπέταμνε,8.87,ἀποτέμνω,
occ335,γέρων,θυμὸν,ὄλεσσεν,8.90,ὄλλυμι,kill
occ336,τίς,δόρυ,πήξῃ,8.95,πήγνυμι,
occ337,Ζεὺς,κῦδος,ὀπάζει,8.141,ὀπάζω,
occ338,ἀνὴρ,νόον,εἰρύσσαιτο,8.143,ἐρύω,
occ339,ἄχος,κραδίην,ἱκάνει,8.147,ἱκάνω,
occ340,Ἕκτωρ,κακὸν,φήσει,8.153,φημί,speak
occ341,οἳ,τείχεα,μηχανόωντο,8.177,μηχανάομαι,
occ342,τὰ,μένος,ἐρύξει,8.178,ἐρύκω,
occ343,κλέος,οὐρανὸν,ἵκει,8.192,ἵκω,
occ344,οἳ,δῶρ',ἀνάγουσι,8.203,ἀνάγω,
occ345,οἳ,τοιαῦτα,ἀγόρευον,8.212,ἀγορεύω,speak
occ346,Ζεὺς,κῦδος,ἔδωκε,8.216,δίδωμι,
occ347,ὃ,θυμὸν,ὄλεσσεν,8.270,ὄλλυμι,kill
occ348,ἥ,λέχος,εἰσαναβαίνοι,8.291,εἰσαναβαίνω,
occ349,Τεῦκρος,ὀϊστὸν,ἴαλλεν,8.309,ἰάλλω,
occ350,Ὀλύμπιος,μένος,ὦρσεν,8.335,ὄρνυμι,
occ351,οὗτός,μένος,ὀλέσειε,8.358,ὄλλυμι,kill
occ352,Ἥρη,μῦθον,ἔειπεν,8.426,εἶπον,speak
occ353,χόλος,μιν,ᾕρει,8.460,αἱρέω,kill
occ354,ὅ,ἔπεα,μετηύδα,8.496,μεταυδάω,speak
occ355,τις,βέλος,πέσσῃ,8.513,πέσσω,
occ356,ὃ,ἔπε',μετηύδα,9.16,μεταυδάω,speak
occ357,τίς,τάδε,γηθήσειε,9.77,γηθέω,
occ358,οἳ,χεῖρας,ἴαλλον,9.91,ἰάλλω,
occ359,τις,νόον,νοήσει,9.104,νοέω,
occ360,οἳ,ἀέθλια,ἄροντο,9.124,αἴρω,
occ361,ἐγὼ,μείλια,δώσω,9.147,δίδωμι,
occ362,οἵ,ἑ,τιμήσουσι,9.155,τιμάω,
occ363,κήρυκες,ὕδωρ,ἔχευαν,9.174,χέω,
occ364,οἳ,χεῖρας,ἴαλλον,9.221,ἰάλλω,
occ365,οἳ,ἀέθλια,ἄροντο,9.266,αἴρω,
occ366,ἵπποι,ἀέθλια,ἄροντο,9.269,αἴρω,
occ367,ὃ,μείλια,δώσει,9.289,δίδωμι,
